500,2,1,1,10.057183933415622,0.691177631579613
500,3,1,1,10.048199031058838,1.0367664473694194
550,2,1,1,10.14217767860829,0.7306007401324552
550,3,1,1,9.650512650084327,1.0959011101986829
600,2,1,1,10.23413159411304,0.7750789473695456
600,3,1,1,9.729832276904038,1.1626184210543185
650,2,1,1,10.147156646932311,0.8286837993435194
650,3,1,1,9.632380335282049,1.2430256990152793
700,2,1,1,9.654810965753668,0.8954868421070119
700,3,1,1,9.39709250161408,1.343230263160518
750,2,1,1,9.736037809310947,0.9795596217126568
750,3,1,1,9.475963680092375,1.4693394325689852
800,2,1,1,9.821629096138183,1.084973684213091
800,3,1,1,9.05429345046656,1.6274605263196364
850,2,1,1,9.718315703072294,1.2158005756609482
850,3,1,1,9.121721268615753,1.8237008634914225
